ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アフリカ,Mali,0,0.2,18.9,96,30.6,0.7,94.9,60.3,0,0.2,2.6,38.3,0.4,14.2,56.7,0,15.9,0,28.4,27,17.1,0.1,197.9,1.2,0.1,700.5,1.3,395.7,1097.5
アフリカ,Mauritania,0,0,0.5,0.5,0,0.2,44.2,9.9,0.1,0.2,2.1,14.6,0.1,0,0,0,0.6,0,34.7,0.5,0.4,0,11.4,18.9,0.2,119.9,19.1,243.5,382.5
アフリカ,Mauritius,0.1,0,0,0,0,0,61.3,0.4,0,0,0,0.7,0,0.4,0,0,0.3,0,0,0,0,7.1,0.5,0,0,71,0,75.6,146.6
アフリカ,Mayotte,0,0,0,0,0,0,610.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.3,0,1,611.3
アフリカ,Mozambique,20.9,8.8,34.1,82,87.6,47.2,20.8,81.2,0.1,56.9,35.3,62.9,1,0.1,81.8,0,73.7,116,60.9,84.5,27.6,104.4,277.9,2.9,0.3,1365.7,3.2,591.7,1960.6
アフリカ,Namibia,0.1,0,0.6,0.5,0,3.8,1.4,28.8,0,0,0,40.6,0.1,12.5,1.6,0,-3,0,8.5,3.2,0.2,0.6,117.2,0,0,216.6,0,53.3,269.9
アフリカ,Niger,0.4,0,35.1,53.7,13,0.7,57.6,22.6,0.1,2.3,3,25.2,1.1,8.8,2.8,0,3.5,0,25.9,8.5,17.8,3.2,102.5,0,0.8,387.9,0.8,350.7,739.5
アフリカ,Nigeria,0.4,0.9,3.2,12.6,19,0.9,8.9,39.8,1.4,1.5,2.1,23.9,3.7,0,9.1,0,14.1,0,0.5,0.3,0.5,275,445.9,0,0.1,863.7,0.1,1222.1,2085.9
アフリカ,Rwanda,0.5,1.3,70.5,58.7,2.3,0.2,6,48.7,0,2.4,1.3,22.8,6.9,5.2,39.4,0,4.4,0.6,1.8,25.2,5.1,106.2,140.6,1.3,0.4,550,1.7,472.9,1024.6
アフリカ,Sao Tome & Principe,0,0,0,0,0,0,2.4,0,0,0,0,3.6,0,0,0,0,0,25.7,1.3,0,0,0,0,0,0,33.1,0,14.5,47.6
アフリカ,Senegal,0.4,0.9,18.5,56.8,0.2,1,178.8,23.1,0,0,7.2,55.2,14.9,18.8,30,0,0.3,0.3,45.6,0.4,1.3,1.3,101.4,20.3,0.1,556.4,20.4,359.3,936.1
アフリカ,Seychelles,0,0,1,0,0,0,33.7,0.5,0,0,8.3,9.6,0,0,0,0.1,0,0,1.1,0,0,0,0,0,17.4,54.3,17.4,4.7,76.5
アフリカ,Sierra Leone,0.3,0.1,0.1,33,4.8,1.5,0.3,13.3,0.2,11.8,0.3,12.2,0.1,0.1,1.1,0,3,0,1.9,0.5,0.1,85.1,29.8,1.5,0.1,199.8,1.7,252.5,454
